"iso3","country","mean","lower","upper"
"CIV","Côte d’Ivoire",0.299226840555556,0.219647625,0.395136425
"HRV","Croatia",-0.0512434467847778,-0.1214851,0.0337051449999999
"CYP","Cyprus",0.400432470555556,0.3253138,0.4923089
"AND","Andorra",0.565599897777778,0.335861825,0.7881876
"CZE","Czechia",-0.577354266111111,-0.6492611,-0.489739475
"DNK","Denmark",-0.307204157222222,-0.379374025,-0.219737075
"DOM","Dominican Republic",0.0250037945058278,-0.062394945,0.131156525
"ECU","Ecuador",0.399202143333333,0.3180551,0.501626425
"EGY","Egypt",-0.924330298333333,-1.018238,-0.8244151
"SLV","El Salvador",0.0809405603783333,-0.00689241275,0.179603675
"EST","Estonia",-0.814393650555556,-0.88625385,-0.72738015
"SWZ","Eswatini",0.911176866111111,0.8217667,1.010117
"ETH","Ethiopia",-0.471034402777778,-0.558221,-0.36958125
"FJI","Fiji",0.559285792777778,0.34763145,0.764310649999999
"AGO","Angola",-0.0255387411277778,-0.142331525,0.0971161974999999
"FIN","Finland",-0.426398808333333,-0.49330995,-0.34112415
"FRA","France",-0.0507202109532222,-0.116567025,0.0318620874999999
"GAB","Gabon",0.400085378888889,0.327219725,0.48948085
"GMB","Gambia",0.55560461,0.46174735,0.6560869
"GEO","Georgia",0.185403039,0.097881265,0.281215825
"DEU","Germany",-0.0637206958402222,-0.125869575,0.0168415675
"GHA","Ghana",-0.102560539363222,-0.17497685,-0.0135505500000001
"GRC","Greece",0.38828664,0.318562925,0.475596575
"GRD","Grenada",-0.842705047222222,-1.07548325,-0.6066998
"GTM","Guatemala",0.243512754444444,0.1588134,0.345152
"ARG","Argentina",0.190235363277778,0.106067175,0.29054715
"GIN","Guinea",0.585622273333333,0.5088098,0.675075
"HTI","Haiti",-0.478331032944444,-0.745031325,-0.208086225
"HND","Honduras",0.101758263590556,0.014207455,0.205218825
"HKG","Hong Kong SAR China",-0.398879378888889,-0.482542425,-0.29814125
"HUN","Hungary",0.00523994224444444,-0.05917139,0.0903398375
"ISL","Iceland",-0.373389443333333,-0.462279925,-0.275323425
