"iso3","lon_min","lon_max","lat_min","lat_max"
"ZWE",25.2240234375,33.00673828125,-22.40205078125,-15.64306640625
"ZMB",21.97890625,33.6615234375,-18.04150390625,-8.19365234375
"YEM",42.5490234375,54.5111328125,12.318994140625,18.996142578125
"VNM",102.12744140625,109.444921875,8.583251953125,23.34521484375
"VEN",-73.3662109375,-59.82890625,0.68798828125,12.177880859375
"VAT",12.4275390625,12.43916015625,41.89755859375,41.906201171875
"VUT",166.52607421875,169.8962890625,-20.241796875,-13.70947265625
"UZB",55.97568359375,73.1369140625,37.172216796875,45.55537109375
"URY",-58.438134765625,-53.1255859375,-34.9328125,-30.10107421875
"FSM",151.5697265625,162.99345703125,5.27724609375,7.46708984374999
"MHL",166.8447265625,171.7568359375,5.7998046875,11.16865234375
"MNP",145.1521484375,145.83544921875,14.111328125,18.806787109375
"VIR",-65.0236328125,-64.58046875,17.701708984375,18.385205078125
"GUM",144.64931640625,144.9408203125,13.25751953125,13.62236328125
"ASM",-170.8205078125,-170.568115234375,-14.359765625,-14.257421875
"PRI",-67.937060546875,-65.294873046875,17.947265625,18.52216796875
"USA",-124.7099609375,-66.98701171875,25.133251953125,49.3696777343751
"SGS",-38.017431640625,-26.25986328125,-58.49228515625,-53.98408203125
"IOT",72.34970703125,72.49853515625,-7.4353515625,-7.22041015625001
"SHN",-5.78251953124999,-5.65971679687499,-16.00400390625,-15.90615234375
"PCN",-128.3501953125,-128.290087890625,-24.41259765625,-24.3232421875
"AIA",-63.160009765625,-62.97958984375,18.17138671875,18.2697265625
"FLK",-61.14501953125,-57.791796875,-52.3080078125,-51.269921875
"CYM",-81.419091796875,-79.74228515625,19.271875,19.76572265625
"BMU",-64.862841796875,-64.668310546875,32.259619140625,32.3869140625
"VGB",-64.6951171875,-64.273583984375,18.39912109375,18.752685546875
"TCA",-72.3423828125,-71.6369140625,21.751708984375,21.951904296875
"MSR",-62.223046875,-62.1484375,16.681201171875,16.8095703125
"JEY",-2.23583984375,-2.00991210937499,49.16982421875,49.266357421875
"GGY",-2.64614257812499,-2.51230468749998,49.4287109375,49.506591796875
"IMN",-4.78535156249998,-4.33798828124998,54.05869140625,54.407177734375
"GBR",-8.14482421874999,1.74658203125,50.02138671875,60.831884765625
"ARE",51.568359375,56.38798828125,22.621484375,26.0681640625
"UKR",22.1318359375,40.1283203125,45.234130859375,52.353564453125
"UGA",29.5619140625,34.97822265625,-1.46992187500001,4.22021484375
"TKM",52.49384765625,66.629296875,35.17080078125,42.778466796875
"TUR",26.03896484375,44.8171875,35.8314453125,42.09326171875
"TUN",7.49560546875,11.5359375,30.22939453125,37.340380859375
"TTO",-61.906103515625,-60.52548828125,10.0646484375,11.325390625
"TON",-175.362353515625,-173.921875,-21.4505859375,-18.56533203125
"TGO",-0.0901855468749773,1.77792968750001,6.08940429687499,11.115625
"TLS",124.036328125,127.29609375,-9.51191406250001,-8.13994140625
"THA",97.37392578125,105.641015625,5.63676757812499,20.4244140625
"TZA",29.3234375,40.46357421875,-11.7162109375,-0.994921875000003
"TJK",67.349609375,75.11875,36.684033203125,41.035107421875
"TWN",118.2873046875,121.92900390625,21.925,25.276904296875
"SYR",35.764453125,42.35908203125,32.31728515625,37.297265625
"CHE",5.97001953125002,10.45458984375,45.830029296875,47.775634765625
"SWE",11.14716796875,24.15546875,55.34638671875,69.036865234375
"SWZ",30.7875,32.112890625,-27.3099609375,-25.74296875
"SUR",-58.0544921875,-53.990478515625,1.842236328125,5.99345703124999
"SSD",24.14736328125,35.268359375,3.49072265625,12.223095703125
"SDN",21.82529296875,38.60947265625,8.66562499999999,22.20244140625
"LKA",79.7078125,81.876953125,5.949365234375,9.8126953125
"ESP",-9.23564453124999,4.32207031250002,36.025927734375,43.76455078125
"KOR",126.00751953125,130.93427734375,33.201513671875,38.6234375
"ZAF",16.44755859375,32.8861328125,-34.7857421875,-22.1462890625
"SOM",40.964453125,51.390234375,-1.6953125,11.98369140625
"SOL",42.6564453125,48.93857421875,7.9970703125,11.4998046875
"SLB",155.6775390625,166.92919921875,-11.8322265625,-6.60888671875
"SVK",16.8626953125,22.538671875,47.763427734375,49.597705078125
"SVN",13.37822265625,16.5162109375,45.428369140625,46.86328125
"SGP",103.6501953125,103.99638671875,1.265380859375,1.44707031249999
"SLE",-13.29267578125,-10.283203125,6.90654296874999,9.996533203125
"SYC",55.3833984375,55.54296875,-4.78554687500001,-4.55878906250001
"SRB",18.8390625,22.97685546875,42.242138671875,46.169189453125
"SEN",-17.53564453125,-11.382421875,12.32802734375,16.67890625
"SAU",34.6162109375,55.641015625,16.37177734375,32.12451171875
"STP",6.46816406250002,7.45234375000001,0.04736328125,1.69912109374999
"SMR",12.396875,12.5146484375,43.894091796875,43.98974609375
"WSM",-172.778515625,-171.449560546875,-14.047265625,-13.465234375
"VCT",-61.353515625,-61.1240234375,12.6947265625,13.358740234375
"LCA",-61.07314453125,-60.886767578125,13.717578125,14.093359375
"KNA",-62.840478515625,-62.5322265625,17.1005859375,17.402587890625
"RWA",28.8576171875,30.8765625,-2.80859375,-1.06308593750001
"RUS",27.351953125,180,41.199267578125,77.73046875
"ROU",20.241796875,29.705859375,43.67080078125,48.2634765625
"QAT",50.75458984375,51.60888671875,24.5646484375,26.153271484375
"PRT",-9.479736328125,-6.21249999999998,37.005419921875,42.13740234375
"POL",14.12861328125,24.10576171875,49.020751953125,54.83818359375
"PHL",117.2185546875,125.74912109375,8.36728515624999,20.841259765625
"PER",-81.33662109375,-68.68525390625,-18.34560546875,-0.041748046875
"PRY",-62.6509765625,-54.241796875,-27.55380859375,-19.28623046875
"PNG",140.8623046875,152.4056640625,-10.6548828125,-1.94853515625
"PAN",-83.02734375,-77.19599609375,7.22006835937499,9.5978515625
